# Copyright (C) 2018  Intel Corporation. All rights reserved.,,,,,,,,,,,
# Your use of Intel Corporation's design tools, logic functions ,,,,,,,,,,
# and other software and tools, and its AMPP partner logic ,,,,,,,,,,
# functions, and any output files from any of the foregoing ,,,,,,,,,,
# (including device programming or simulation files), and any ,,,,,,,,,,
# associated documentation or information are expressly subject ,,,,,,,,,,,
# to the terms and conditions of the Intel Program License ,,,,,,,,,,,
# Subscription Agreement, the Intel Quartus Prime License Agreement,,,,,,,,,,
# the Intel FPGA IP License Agreement, or other applicable license,,,,,,,,,,
# agreement, including, without limitation, that your use is for,,,,,,,,
# the sole purpose of programming logic devices manufactured by,,,,,,,,,,,
# Intel and sold by Intel or its authorized distributors.  Please,,,,,,,,,,,
# refer to the applicable agreement for further details.,,,,,,,,,,,
,,,,,,,,,,,
# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition,,,,,,,,,,,
# File: C:\Users\jfalkinburg2\Documents\csce230_code_2020\group_project\Project_pin_assignments.csv,,,,,,,,,,,
# Generated on: Thu Oct 15 17:24:25 2020,,,,,,,,,,,
,,,,,,,,,,,
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.,,,,,,,,,,,
,,,,,,,,,,,
To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
clock,Input,PIN_P11,3,B3_N0,PIN_P11,3.3-V LVTTL,,,,,
debug_Extension[15],Output,,,,PIN_M8,3.3-V LVTTL,,,,,
debug_Extension[14],Output,,,,PIN_N2,3.3-V LVTTL,,,,,
debug_Extension[13],Output,,,,PIN_E1,3.3-V LVTTL,,,,,
debug_Extension[12],Output,,,,PIN_T22,3.3-V LVTTL,,,,,
debug_Extension[11],Output,,,,PIN_Y11,3.3-V LVTTL,,,,,
debug_Extension[10],Output,,,,PIN_V11,3.3-V LVTTL,,,,,
debug_Extension[9],Output,,,,PIN_V14,3.3-V LVTTL,,,,,
debug_Extension[8],Output,,,,PIN_W18,3.3-V LVTTL,,,,,
debug_Extension[7],Output,,,,PIN_AB21,3.3-V LVTTL,,,,,
debug_Extension[6],Output,,,,PIN_U18,3.3-V LVTTL,,,,,
debug_Extension[5],Output,,,,PIN_W12,3.3-V LVTTL,,,,,
debug_Extension[4],Output,,,,PIN_E10,3.3-V LVTTL,,,,,
debug_Extension[3],Output,,,,PIN_C7,3.3-V LVTTL,,,,,
debug_Extension[2],Output,,,,PIN_V3,3.3-V LVTTL,,,,,
debug_Extension[1],Output,,,,PIN_L22,3.3-V LVTTL,,,,,
debug_Extension[0],Output,,,,PIN_P22,3.3-V LVTTL,,,,,
debug_IR[15],Output,,,,PIN_AA13,3.3-V LVTTL,,,,,
debug_IR[14],Output,,,,PIN_AB5,3.3-V LVTTL,,,,,
debug_IR[13],Output,,,,PIN_AA7,3.3-V LVTTL,,,,,
debug_IR[12],Output,,,,PIN_V10,3.3-V LVTTL,,,,,
debug_IR[11],Output,,,,PIN_AA6,3.3-V LVTTL,,,,,
debug_IR[10],Output,,,,PIN_AA11,3.3-V LVTTL,,,,,
debug_IR[9],Output,,,,PIN_U21,3.3-V LVTTL,,,,,
debug_IR[8],Output,,,,PIN_P12,3.3-V LVTTL,,,,,
debug_IR[7],Output,,,,PIN_AA14,3.3-V LVTTL,,,,,
debug_IR[6],Output,,,,PIN_AA12,3.3-V LVTTL,,,,,
debug_IR[5],Output,,,,PIN_R15,3.3-V LVTTL,,,,,
debug_IR[4],Output,,,,PIN_T21,3.3-V LVTTL,,,,,
debug_IR[3],Output,,,,PIN_E11,3.3-V LVTTL,,,,,
debug_IR[2],Output,,,,PIN_R13,3.3-V LVTTL,,,,,
debug_IR[1],Output,,,,PIN_AB13,3.3-V LVTTL,,,,,
debug_IR[0],Output,,,,PIN_A6,3.3-V LVTTL,,,,,
debug_PC[15],Output,,,,PIN_Y21,3.3-V LVTTL,,,,,
debug_PC[14],Output,,,,PIN_AA3,3.3-V LVTTL,,,,,
debug_PC[13],Output,,,,PIN_T18,3.3-V LVTTL,,,,,
debug_PC[12],Output,,,,PIN_AA16,3.3-V LVTTL,,,,,
debug_PC[11],Output,,,,PIN_AB12,3.3-V LVTTL,,,,,
debug_PC[10],Output,,,,PIN_AB19,3.3-V LVTTL,,,,,
debug_PC[9],Output,,,,PIN_U4,3.3-V LVTTL,,,,,
debug_PC[8],Output,,,,PIN_W19,3.3-V LVTTL,,,,,
debug_PC[7],Output,,,,PIN_P15,3.3-V LVTTL,,,,,
debug_PC[6],Output,,,,PIN_R14,3.3-V LVTTL,,,,,
debug_PC[5],Output,,,,PIN_Y14,3.3-V LVTTL,,,,,
debug_PC[4],Output,,,,PIN_AB15,3.3-V LVTTL,,,,,
debug_PC[3],Output,,,,PIN_AA20,3.3-V LVTTL,,,,,
debug_PC[2],Output,,,,PIN_V20,3.3-V LVTTL,,,,,
debug_PC[1],Output,,,,PIN_V22,3.3-V LVTTL,,,,,
debug_PC[0],Output,,,,PIN_Y13,3.3-V LVTTL,,,,,
debug_r1[15],Output,,,,PIN_P1,3.3-V LVTTL,,,,,
debug_r1[14],Output,,,,PIN_R12,3.3-V LVTTL,,,,,
debug_r1[13],Output,,,,PIN_K5,3.3-V LVTTL,,,,,
debug_r1[12],Output,,,,PIN_AA9,3.3-V LVTTL,,,,,
debug_r1[11],Output,,,,PIN_Y8,3.3-V LVTTL,,,,,
